donor_id,stimulation,difference_pp
D01,Stimulated,-8.09
D01,Unstimulated,-0.18999999999999995
D02,Stimulated,-10.780000000000001
D02,Unstimulated,0.5199999999999996
D03,Stimulated,-3.644999999999996
D03,Unstimulated,-0.28499999999999925
D04,Stimulated,-11.425000000000004
D04,Unstimulated,0.27999999999999936
D05,Stimulated,-5.359999999999999
D05,Unstimulated,-0.9900000000000002
D06,Stimulated,-7.435000000000002
D06,Unstimulated,0.5199999999999996
D07,Stimulated,-5.590000000000003
D07,Unstimulated,-0.14000000000000057
D08,Stimulated,-7.289999999999999
D08,Unstimulated,-0.1850000000000005
D09,Stimulated,-13.865000000000002
D09,Unstimulated,-0.5750000000000028
D10,Stimulated,1.8449999999999989
D10,Unstimulated,0.3650000000000002
