donor_id,treatment,stimulation,activation_percent
D01,Compound_X,Stimulated,19.73
D01,Compound_X,Unstimulated,3.335
D01,Vehicle,Stimulated,27.82
D01,Vehicle,Unstimulated,3.525
D02,Compound_X,Stimulated,27.165
D02,Compound_X,Unstimulated,5.865
D02,Vehicle,Stimulated,37.945
D02,Vehicle,Unstimulated,5.345000000000001
D03,Compound_X,Stimulated,24.17
D03,Compound_X,Unstimulated,7.48
D03,Vehicle,Stimulated,27.814999999999998
D03,Vehicle,Unstimulated,7.765
D04,Compound_X,Stimulated,32.585
D04,Compound_X,Unstimulated,4.895
D04,Vehicle,Stimulated,44.010000000000005
D04,Vehicle,Unstimulated,4.615
D05,Compound_X,Stimulated,30.5
D05,Compound_X,Unstimulated,9.405
D05,Vehicle,Stimulated,35.86
D05,Vehicle,Unstimulated,10.395
D06,Compound_X,Stimulated,27.810000000000002
D06,Compound_X,Unstimulated,6.725
D06,Vehicle,Stimulated,35.245000000000005
D06,Vehicle,Unstimulated,6.205
D07,Compound_X,Stimulated,42.614999999999995
D07,Compound_X,Unstimulated,12.5
D07,Vehicle,Stimulated,48.205
D07,Vehicle,Unstimulated,12.64
D08,Compound_X,Stimulated,23.585
D08,Compound_X,Unstimulated,7.805
D08,Vehicle,Stimulated,30.875
D08,Vehicle,Unstimulated,7.99
D09,Compound_X,Stimulated,41.555
D09,Compound_X,Unstimulated,17.549999999999997
D09,Vehicle,Stimulated,55.42
D09,Vehicle,Unstimulated,18.125
D10,Compound_X,Stimulated,38.375
D10,Compound_X,Unstimulated,9.83
D10,Vehicle,Stimulated,36.53
D10,Vehicle,Unstimulated,9.465
