donor_id,sample_id,technical_replicate,treatment,stimulation,activation_percent,data_origin
D04,D04_Compound_X_Stimulated,2,Compound_X,Stimulated,32.72,synthetic
D07,D07_Vehicle_Unstimulated,2,Vehicle,Unstimulated,12.64,synthetic
D03,D03_Vehicle_Unstimulated,1,Vehicle,Unstimulated,7.52,synthetic
D03,D03_Compound_X_Unstimulated,2,Compound_X,Unstimulated,7.62,synthetic
D04,D04_Compound_X_Unstimulated,2,Compound_X,Unstimulated,4.91,synthetic
D09,D09_Vehicle_Unstimulated,1,Vehicle,Unstimulated,18.5,synthetic
D08,D08_Compound_X_Unstimulated,2,Compound_X,Unstimulated,7.73,synthetic
D05,D05_Compound_X_Unstimulated,1,Compound_X,Unstimulated,9.44,synthetic
D02,D02_Compound_X_Stimulated,2,Compound_X,Stimulated,26.68,synthetic
D04,D04_Compound_X_Unstimulated,1,Compound_X,Unstimulated,4.88,synthetic
D02,D02_Vehicle_Unstimulated,1,Vehicle,Unstimulated,5.23,synthetic
D01,D01_Compound_X_Unstimulated,2,Compound_X,Unstimulated,3.28,synthetic
D02,D02_Vehicle_Unstimulated,2,Vehicle,Unstimulated,5.46,synthetic
D06,D06_Compound_X_Stimulated,2,Compound_X,Stimulated,27.27,synthetic
D05,D05_Compound_X_Unstimulated,2,Compound_X,Unstimulated,9.37,synthetic
D10,D10_Vehicle_Stimulated,1,Vehicle,Stimulated,37.01,synthetic
D03,D03_Compound_X_Stimulated,1,Compound_X,Stimulated,23.89,synthetic
D07,D07_Vehicle_Unstimulated,1,Vehicle,Unstimulated,12.64,synthetic
D08,D08_Vehicle_Unstimulated,1,Vehicle,Unstimulated,7.78,synthetic
D09,D09_Compound_X_Stimulated,1,Compound_X,Stimulated,41.91,synthetic
D01,D01_Compound_X_Unstimulated,1,Compound_X,Unstimulated,3.39,synthetic
D06,D06_Compound_X_Unstimulated,1,Compound_X,Unstimulated,6.69,synthetic
D06,D06_Vehicle_Unstimulated,1,Vehicle,Unstimulated,5.99,synthetic
D02,D02_Vehicle_Stimulated,2,Vehicle,Stimulated,38.01,synthetic
D05,D05_Vehicle_Stimulated,2,Vehicle,Stimulated,35.88,synthetic
D04,D04_Vehicle_Stimulated,2,Vehicle,Stimulated,43.74,synthetic
D04,D04_Vehicle_Unstimulated,2,Vehicle,Unstimulated,4.49,synthetic
D08,D08_Vehicle_Unstimulated,2,Vehicle,Unstimulated,8.2,synthetic
D09,D09_Vehicle_Unstimulated,2,Vehicle,Unstimulated,17.75,synthetic
D01,D01_Vehicle_Stimulated,2,Vehicle,Stimulated,27.9,synthetic
D07,D07_Vehicle_Stimulated,1,Vehicle,Stimulated,48.94,synthetic
D05,D05_Vehicle_Stimulated,1,Vehicle,Stimulated,35.84,synthetic
D09,D09_Vehicle_Stimulated,1,Vehicle,Stimulated,55.37,synthetic
D06,D06_Vehicle_Stimulated,2,Vehicle,Stimulated,34.24,synthetic
D07,D07_Compound_X_Stimulated,2,Compound_X,Stimulated,42.9,synthetic
D02,D02_Compound_X_Unstimulated,1,Compound_X,Unstimulated,5.85,synthetic
D08,D08_Compound_X_Stimulated,1,Compound_X,Stimulated,23.68,synthetic
D10,D10_Vehicle_Unstimulated,2,Vehicle,Unstimulated,9.55,synthetic
D06,D06_Vehicle_Stimulated,1,Vehicle,Stimulated,36.25,synthetic
D08,D08_Compound_X_Unstimulated,1,Compound_X,Unstimulated,7.88,synthetic
D06,D06_Compound_X_Stimulated,1,Compound_X,Stimulated,28.35,synthetic
